t_s,co_ppm,no2_ppm,temp_c,rh_pct
3145,422.4,6.845,30.1,84.09
3150,381.9,6.733,30.1,84.01
3155,343.9,6.631,30.1,83.98
3160,310.9,6.537,30.13,83.91
3165,279.8,6.45,30.08,84
3170,252.2,6.371,30.11,83.97
3175,226.5,6.111,30.12,84.03
3180,206.3,6.424,30.13,84
3185,187,6.362,30.09,84.03
3190,168.3,6.506,30.12,84.08
3195,152.8,6.25,30.1,84.02
3200,137.3,6.006,30.11,84.02
3205,126.3,6.154,30.08,84.04
3210,114.8,6.111,30.1,84.07
3215,103.8,5.876,30.11,83.98
3220,94.6,5.838,30.09,84.03
3225,86.7,5.802,30.12,84.09
3230,77.6,6.165,30.13,83.96
3235,73.7,5.737,30.1,84.06
3240,66.6,5.901,30.08,84.07
3245,61.9,5.873,30.12,84.02
3250,55.6,5.846,30.13,84.06
3255,53.1,6.023,30.07,84.01
3260,47.3,5.999,30.11,84.03
3265,44.2,5.774,30.1,84.08
3270,41.7,5.558,30.13,83.99
3275,37.8,5.537,30.1,84.08
3280,34.6,6.342,30.11,84.11
3285,32.6,5.691,30.09,84.07
3290,31.9,5.875,30.12,83.96
3295,28.3,6.287,30.1,84.2
3300,28.7,6.051,30.12,84.07
3305,25.7,6.253,30.13,84.13
3310,25.4,5.808,30.08,84.14
3315,23.8,5.59,30.1,84.01
3320,20.2,5.778,30.12,83.97
3325,22,5.974,30.13,84.05
3330,20.4,5.96,30.13,84.09
3335,18.6,5.736,30.12,84.08
3340,18.8,5.521,30.11,84.13
3345,19.2,5.921,30.07,84.15
3350,16.8,5.908,30.07,84.21
3355,18,5.896,30.1,84.12
3360,15.8,5.674,30.14,84.17
3365,15.6,6.092,30.1,84.11
3370,17.9,5.652,30.11,84.06
3375,15.5,5.852,30.08,84.21
3380,15.9,6.06,30.15,84.09
3385,16,5.621,30.13,84.15
3390,14.2,5.611,30.14,84.04
3395,13.5,6.258,30.11,84.07
3400,14.4,6.249,30.14,84.15
3405,12.1,5.792,30.11,84.11
3410,13.5,6.002,30.13,84.06
3415,14.1,5.994,30.12,84.21
3420,12.2,5.985,30.11,84.07
3425,13,5.758,30.1,84.14
3430,11.8,5.968,30.11,84.17
3435,12.3,5.741,30.09,84.16
3440,12.9,5.952,30.14,84.19
3445,12.1,5.945,30.13,84.18
3450,10.7,5.937,30.13,84.15
3455,11.5,6.158,30.14,84.21
3460,12.9,5.923,30.1,84.2
3465,11.7,5.916,30.11,84.16
3470,13.5,6.137,30.15,84.12
3475,11.1,5.902,30.08,84.28
3480,11.4,6.123,30.1,84.17
3485,11,5.889,30.14,84.15
3490,10,5.883,30.13,84.28
3495,11.9,5.876,30.1,84.17
3500,11.1,5.87,30.06,84.13
3505,9.8,6.092,30.11,84.12
3510,11.3,5.859,30.1,84.1
3515,10.9,6.081,30.11,84.19
3520,9.3,6.075,30.15,84.2
3525,9.5,5.842,30.12,84.18
3530,10.4,6.302,30.12,84.28
3535,11.4,6.059,30.15,84.25
3540,10.7,6.054,30.12,84.19
3545,9.9,6.049,30.12,84.09
3550,9.6,6.044,30.12,84.14
3555,8.1,6.04,30.12,84.24
3560,10.8,6.272,30.13,84.18
3565,9.5,6.03,30.11,84.16
3570,9.1,6.026,30.1,84.15
3575,10.7,6.021,30.11,84.18
3580,9.3,6.254,30.13,84.23
3585,9.6,6.25,30.15,84.22
3590,9.6,6.493,30.15,84.29
3595,10.2,6.242,30.17,84.17
3600,7.8,6.485,30.12,84.2
3605,8.3,6.234,30.13,84.2
3610,9.4,6.23,30.13,84.22
3615,9.7,6.73,30.14,84.19
3620,9.7,6.223,30.14,84.23
3625,8.7,6.466,30.13,84.2
3630,9,5.979,30.18,84.16
3635,9.6,6.212,30.13,84.11
3640,9.6,6.209,30.09,84.16
3645,9.9,6.71,30.14,84.25
3650,9.5,5.965,30.15,84.15
3655,10.2,6.446,30.13,84.09
3660,10.6,6.443,30.15,84.16
3665,9.1,6.44,30.16,84.22
3670,10.1,6.437,30.17,84.2
3675,8.8,6.434,30.13,84.26
3680,7.6,6.184,30.15,84.27
3685,10.4,6.686,30.15,84.2
3690,9,6.426,30.15,84.25
3695,10.4,6.68,30.11,84.26
3700,8.1,6.421,30.12,84.25
3705,8.3,6.675,30.14,84.26
3710,9.3,6.416,30.14,84.24
3715,8,6.413,30.11,84.18
3720,7.2,6.411,30.13,84.22
3725,10.3,6.408,30.13,84.26
