t_s,co_ppm,no2_ppm,temp_c,rh_pct
3025,95.6,0.368,29.18,64.89
3030,95.6,0,29.21,64.97
3035,99.5,0.186,29.22,64.93
3040,99.5,0,29.15,64.84
3045,95.6,0.172,29.19,64.93
3050,103.5,0,29.18,64.85
3055,99.5,0.257,29.19,65.01
3060,95.6,0,29.23,64.92
3065,95.6,0.237,29.23,64.87
3070,103.5,0,29.23,64.89
3075,99.5,0,29.22,64.88
3080,107.8,0.257,29.23,64.87
3085,95.6,0,29.27,64.81
3090,112.2,0,29.22,64.85
3095,107.8,0,29.22,64.9
3100,112.2,0,29.25,64.84
3105,107.8,0,29.25,64.85
3110,107.8,0.267,29.26,64.86
3115,99.5,0.313,29.24,64.88
3120,112.2,0.326,29.28,64.95
3125,112.2,0.202,29.27,64.79
3130,107.8,0,29.23,64.84
3135,116.7,0,29.29,64.86
3140,112.2,0.326,29.25,64.79
3145,116.7,0,29.29,64.78
3150,112.2,0.179,29.27,64.86
3155,116.7,0.527,29.31,64.86
3160,116.7,0,29.28,64.8
3165,121.5,0,29.31,64.84
3170,112.2,0,29.3,64.75
3175,116.7,0.135,29.27,64.82
3180,121.5,0,29.33,64.8
3185,121.5,0.179,29.3,64.84
3190,131.6,0,29.34,64.77
3195,126.5,0.159,29.31,64.82
3200,121.5,0.301,29.33,64.69
3205,121.5,0.228,29.35,64.83
3210,121.5,0.172,29.33,64.72
3215,137,0,29.31,64.85
3220,126.5,0.267,29.37,64.76
3225,126.5,0.106,29.34,64.78
3230,137,0.257,29.37,64.77
3235,126.5,0.194,29.35,64.61
3240,126.5,0,29.33,64.77
3245,131.6,0.165,29.38,64.74
3250,126.5,0,29.37,64.73
3255,137,0.527,29.36,64.76
3260,131.6,0,29.4,64.72
3265,142.6,0,29.36,64.71
3270,137,0.278,29.39,64.67
3275,142.6,0.278,29.39,64.7
3280,148.4,0,29.41,64.76
3285,137,0,29.41,64.68
3290,131.6,0.13,29.39,64.71
3295,137,0,29.4,64.68
3300,137,0.13,29.39,64.76
3305,131.6,0.159,29.34,64.63
3310,137,0,29.4,64.72
3315,137,0.125,29.39,64.73
3320,137,0.141,29.35,64.72
3325,137,0,29.41,64.78
3330,142.6,0,29.42,64.66
3335,131.6,0,29.39,64.67
3340,137,0,29.41,64.7
3345,131.6,0.194,29.41,64.62
3350,126.5,0.194,29.35,64.67
3355,131.6,0.228,29.36,64.67
3360,137,0.468,29.38,64.62
3365,137,0,29.41,64.69
3370,126.5,0.487,29.37,64.72
3375,131.6,0.326,29.38,64.6
3380,126.5,0.267,29.42,64.64
3385,137,0.228,29.38,64.74
3390,142.6,0.102,29.41,64.74
3395,131.6,0,29.37,64.77
3400,126.5,0.228,29.41,64.72
3405,137,0,29.38,64.7
3410,131.6,0.179,29.38,64.62
3415,126.5,0,29.43,64.65
3420,126.5,0.301,29.41,64.55
3425,137,0.353,29.4,64.66
3430,126.5,0.247,29.41,64.67
3435,131.6,0.219,29.37,64.54
3440,137,0.257,29.4,64.59
3445,126.5,0,29.38,64.65
3450,137,0,29.38,64.59
3455,121.5,0,29.38,64.51
3460,137,0.13,29.4,64.49
3465,131.6,0.326,29.38,64.57
3470,126.5,0.172,29.4,64.51
3475,131.6,0,29.36,64.68
3480,126.5,0,29.36,64.54
3485,126.5,0,29.41,64.62
