step,co,stel_co,twa_co,proj_co,no2,stel_no2,twa_no2,proj_no2,model_ok,x0,x1,x2,x3,x4,x5,x6,x7,rule_co,lp_co,rule_no2,lp_no2
119,0,1.083137,0.02256534,0.7999029,0,0.06259699,0.001304104,0.07729126,0,0,0,0.04407388,0.01689345,0.03267821,0.02083058,-0.4490677,0.1846644,0,0,0,0
120,2.792264,1.111155,0.02353488,1.10757,0.1184639,0.06351284,0.001345237,0.07419225,0,0.1109921,0.03180535,0.04519631,0.01713916,0.04505276,0.02000114,-0.444414,0.184883,0,0,0,0
121,3.845305,1.155254,0.02487006,1.539658,0,0.06248844,0.001345237,0.06296521,0,0.1507284,0,0.04696116,0.01686433,0.06225427,0.01699224,-0.446603,0.1842734,0,0,0,0
122,2.682778,1.179501,0.02580158,1.867553,0,0.06149656,0.001345237,0.06296521,0,0.1067972,0,0.04793058,0.01659817,0.07517233,0.01699224,-0.4476149,0.1843723,0,0,0,0
123,0,1.161071,0.02580158,1.796694,0,0.06053567,0.001345237,0.05482038,0,0,0,0.04719378,0.01634029,0.07239049,0.01480546,-0.4406016,0.1856473,0,0,0,0
124,0,1.143208,0.02580158,1.43261,0,0.05960435,0.001345237,0.03778767,0,0,0,0.0464793,0.0160903,0.05801176,0.01022165,-0.4402917,0.1857692,0,0,0,0
125,0,1.125887,0.02580158,1.400319,0,0.05870126,0.001345237,0.03778767,0,0,0,0.04578612,0.01584784,0.05672953,0.01022165,-0.4429301,0.1810647,0,0,0,0
126,0,1.109083,0.02580158,1.090068,0.2231748,0.06115609,0.001422728,0.0496349,0,0,0.0593461,0.04511332,0.0165068,0.04435162,0.01341149,-0.4457789,0.1810718,0,0,0,0
127,0,1.092773,0.02580158,0.6628115,0.1335677,0.06222096,0.001469106,0.06492443,0,0,0.03581049,0.04446001,0.01679256,0.02712995,0.01751777,-0.4365228,0.1831827,0,0,0,0
128,0,1.076935,0.02580158,0.3647251,0.06246511,0.0622245,0.001490795,0.07255905,0,0,0.01685807,0.04382534,0.01679351,0.01499187,0.01956382,-0.4459383,0.1811348,0,0,0,0
129,0,1.061551,0.02580158,0.3252844,0,0.06133558,0.001490795,0.07255905,0,0,0,0.04320855,0.01655497,0.01337817,0.01956382,-0.4381713,0.1812144,0,0,0,0
130,0,1.046599,0.02580158,0.3252844,0,0.0604717,0.001490795,0.07196761,0,0,0,0.04260888,0.01632312,0.01337817,0.01940543,-0.4365257,0.1805553,0,0,0,0
131,0,1.032063,0.02580158,0.284234,0,0.05963181,0.001490795,0.07196761,0,0,0,0.04202562,0.01609767,0.0116967,0.01940543,-0.4278392,0.1811862,0,0,0,0
132,0,1.017925,0.02580158,0.284234,0,0.05881494,0.001490795,0.0445912,0,0,0,0.04145812,0.01587836,0.0116967,0.01205435,-0.438031,0.1818586,0,0,0,0
133,0,1.004169,0.02580158,0.2415084,0.2216681,0.06101566,0.001567763,0.05684312,0,0,0.05895352,0.04090574,0.01646911,0.009944512,0.01534885,-0.4416143,0.1796947,0,0,0,0
